# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
bei zhu 	備註	c=39 d=0.0434998 t=255488
bei zi 	杯子	c=2 d=0.425283 t=255488
bei zi 	被子	c=4 d=1.64156e-42 t=255488
ben 	本	c=18 d=7.16069e-13 t=255488
ben 	笨	c=11 d=0.00246639 t=255488
ben a 	本啊	c=2 d=1.3419e-48 t=255488
ben di 	本地	c=107 d=0.502072 t=255488
ben di hua 	本地化	c=3 d=9.90131e-237 t=255488
ben ji 	本機	c=4 d=0.00032718 t=255488
ben ji 	本級	c=45 d=4.18244e-315 t=255488
ben ke 	本科	c=7 d=5.76324e-47 t=255488
ben ke sheng 	本科生	c=1 d=0.00172937 t=255488
ben lai 	本來	c=48 d=0.00247875 t=255488
ben ren 	本人	c=10 d=2.05548e-06 t=255488
ben shen 	本身	c=22 d=0.312084 t=255488
ben sheng 	本省	c=1 d=0 t=255488
ben shi 	本事	c=0 d=2.39622e-223 t=255488
ben si 	笨死	c=1 d=2.9294e-27 t=255488
ben tu 	本土	c=1 d=1.6677e-252 t=255488
ben xi 	本息	c=1 d=7.0657e-238 t=255488
ben xiang mu 	本項目	c=1 d=0 t=255488
ben yue 	本月	c=1 d=9.7003e-231 t=255488
ben zhan 	本站	c=14 d=3.23613e-321 t=255488
ben zhan de 	本站的	c=1 d=0 t=255488
ben zhao 	笨找	c=1 d=1.4822e-321 t=255488
ben zhi 	本質	c=4 d=9.75974e-09 t=255488
ben zhong 	笨重	c=2 d=8.56825e-36 t=255488
ben zhou 	本週	c=2 d=3.93775e-58 t=255488
ben zuo 	本座	c=1 d=1.14372e-21 t=255488
beng 	蹦	c=1 d=3.49179e-93 t=255488
beng kui 	崩潰	c=1 d=1.23066e-30 t=255488
bi 	幣	c=2 d=5.30099e-34 t=255488
bi 	比	c=71 d=0.160471 t=255488
bi 	畢	c=1 d=9.02078e-112 t=255488
bi 	筆	c=47 d=1.00641e-16 t=255488
bi 	逼	c=3 d=5.98892e-234 t=255488
bi bao 	閉包	c=4 d=0.00215492 t=255488
bi bei 	必備	c=2 d=0.0393868 t=255488
bi bi bo bo 	必必剝剝	c=0 d=0 t=255488
bi bi bo bo ba 	必必剝剝吧	c=1 d=2.65627e-288 t=255488
bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba bi bi bo bo ba ban ben 	必必剝剝吧必必剝剝吧必必剝剝吧必必剝剝吧必必剝剝吧必必剝剝吧必必剝剝吧必必剝剝吧必必剝剝吧版本	c=1 d=2.66958e-287 t=255488
bi chi 	比吃	c=1 d=4.64607e-12 t=255488
bi de 	彼得	c=2 d=7.59142e-200 t=255488
bi duan 	弊端	c=1 d=1.76205e-223 t=255488
bi dui 	比對	c=2 d=3.79212e-05 t=255488
bi fen 	比分	c=3 d=7.60861e-322 t=255488
bi gua lu 	壁掛爐	c=1 d=2.98679e-255 t=255488
bi gui yuan 	碧桂園	c=1 d=1.57881e-49 t=255488
bi ji 	筆記	c=7 d=0.562705 t=255488
bi ji ben 	筆記本	c=5 d=1.33199e-12 t=255488
bi jiao 	比較	c=117 d=0.245382 t=255488
bi jiao chou 	比較丑	c=1 d=5.1347e-12 t=255488
bi jiao da 	比較大	c=3 d=5.98601e-52 t=255488
bi jiao duo 	比較多	c=9 d=4.55315e-39 t=255488
bi jiao gui 	比較貴	c=1 d=4.52273e-19 t=255488
bi jiao hao 	比較好	c=2 d=3.35273e-203 t=255488
bi jiao kuai 	比較快	c=1 d=1.21527e-29 t=255488
bi jiao ma fan 	比較麻煩	c=1 d=1.42912e-318 t=255488
bi jiao man 	比較慢	c=2 d=5.34633e-281 t=255488
bi jiao pian 	比較偏	c=1 d=0 t=255488
bi jiao re 	比較熱	c=1 d=0 t=255488
bi jiao xia 	比較下	c=1 d=7.94599e-237 t=255488
bi jing 	畢竟	c=3 d=1.31559e-21 t=255488
bi jing 	鼻鏡	c=1 d=0 t=255488
bi jun 	筆均	c=1 d=4.86193e-105 t=255488
bi kong 	鼻孔	c=0 d=5.66682e-26 t=255488
bi li 	比例	c=31 d=0.0178634 t=255488
bi lv 	比率	c=1 d=0 t=255488
bi men 	閉門	c=1 d=0 t=255488
bi mian 	避免	c=18 d=0.0233364 t=255488
bi ni 	比你	c=1 d=1.25967e-10 t=255488
bi po 	逼迫	c=2 d=4.39315e-256 t=255488
bi ru 	比如	c=22 d=0.154124 t=255488
bi sai 	比賽	c=4 d=4.40657e-07 t=255488
bi shi 	鄙視	c=1 d=0.0231676 t=255488
bi shu 	祕書	c=1 d=3.59457e-52 t=255488
bi shu 	筆數	c=43 d=1.397e-05 t=255488
bi shui 	避稅	c=2 d=8.22501e-55 t=255488
bi ta 	比他	c=0 d=0 t=255488
bi ta zhe ge 	比他這個	c=1 d=0 t=255488
bi te 	比特	c=2 d=0.00663763 t=255488
bi te bi 	比特幣	c=1 d=0 t=255488
bi ti 	鼻涕	c=4 d=1.06253e-37 t=255488
bi tian 	必填	c=9 d=0.324652 t=255488
bi wo 	比我	c=1 d=0 t=255488
bi xu 	必須	c=77 d=0.652606 t=255488
bi xu gai 	必須改	c=1 d=1.71347e-247 t=255488
bi xuan 	必選	c=2 d=6.53442e-142 t=255488
bi yao 	必要	c=20 d=1.10059e-10 t=255488
bi ye 	畢業	c=7 d=8.92552e-46 t=255488
bi ye zheng 	畢業證	c=1 d=3.1402e-21 t=255488
bi ying 	必應	c=1 d=7.31382e-56 t=255488
bi yuan 	閉源	c=1 d=8.23349e-214 t=255488
bi yun mu 	鼻韻母	c=0 d=0 t=255488
bi zhe 	閉着	c=1 d=7.15947e-11 t=255488
bi zhe ge 	比這個	c=1 d=5.30296e-09 t=255488
bi zhi 	壁紙	c=3 d=3.00407e-29 t=255488
bi zhong 	幣種	c=12 d=1.65204e-16 t=255488
bi zi 	箅子	c=1 d=1.44588e-220 t=255488
bi zi 	鼻子	c=1 d=0 t=255488
bian 	便	c=2 d=6.2119e-76 t=255488
bian 	編	c=4 d=5.64299e-93 t=255488
bian 	變	c=27 d=0.472367 t=255488
bian 	遍	c=2 d=2.46329e-47 t=255488
bian 	邊	c=45 d=0.612626 t=255488
bian bai 	變白	c=1 d=8.10874e-299 t=255488
bian bu fen 	邊部分	c=1 d=0 t=255488
bian chen 	邊塵	c=1 d=0.0366992 t=255488
bian cheng 	編程	c=26 d=0.160414 t=255488
bian cheng 	變成	c=13 d=0.162026 t=255488
bian cheng ku 	編程庫	c=1 d=0 t=255488
bian da 	變大	c=1 d=7.88678e-296 t=255488
bian de 	變得	c=1 d=1.20154e-13 t=255488
bian di 	遍地	c=1 d=2.66573e-35 t=255488
bian dong 	變動	c=35 d=0.0735345 t=255488
bian geng 	變更	c=16 d=0.601426 t=255488
bian ha 	邊哈	c=1 d=2.40398e-260 t=255488
bian hao 	編號	c=132 d=0.292293 t=255488
bian hao ni 	編號你	c=1 d=4.06093e-281 t=255488
bian hong 	變紅	c=1 d=0 t=255488
bian hu 	邊戶	c=1 d=0 t=255488
bian hua 	變化	c=8 d=2.40542e-32 t=255488
bian ji 	編輯	c=44 d=2.46681e-06 t=255488
bian ji qi 	編輯器	c=7 d=0.0205478 t=255488
bian ji shi 	編輯時	c=1 d=2.47917e-05 t=255488
bian jie 	邊界	c=2 d=1.95524e-06 t=255488
bian kuang 	邊框	c=9 d=2.09701e-06 t=255488
bian le 	變了	c=7 d=1.17695e-05 t=255488
bian leng 	變冷	c=1 d=1.10645e-43 t=255488
bian li 	便利	c=0 d=1.17471e-13 t=255488
bian li 	遍歷	c=18 d=0.000153295 t=255488
bian li dian 	便利店	c=4 d=3.76361e-10 t=255488
bian li feng 	便利蜂	c=3 d=3.67993e-12 t=255488
bian liang 	變量	c=114 d=0.548812 t=255488
bian ma 	編碼	c=101 d=0.30423 t=255488
bian man 	變慢	c=1 d=2.63387e-305 t=255488
bian nao 	邊鬧	c=2 d=1.16057e-46 t=255488
bian pai 	編排	c=2 d=0 t=255488
bian pin 	變頻	c=3 d=1.2537e-239 t=255488
bian qian 	便籤	c=1 d=8.28791e-27 t=255488
bian shang 	邊上	c=1 d=6.10194e-13 t=255488
bian tai 	變態	c=1 d=0 t=255488
bian ti 	變體	c=1 d=6.82362e-269 t=255488
bian tian 	變天	c=1 d=2.36301e-58 t=255488
bian wei 	變爲	c=4 d=1.29211e-05 t=255488
bian xiang 	變相	c=1 d=1.75834e-257 t=255488
bian xie 	編寫	c=3 d=0.000218221 t=255488
bian xing 	變形	c=3 d=2.41542e-22 t=255488
bian yi 	編譯	c=56 d=0.0804596 t=255488
bian yi 	變異	c=1 d=1.72282e-311 t=255488
bian yi hao de 	編譯好的	c=1 d=1.01965e-23 t=255488
bian yi qi 	編譯器	c=3 d=1.2922e-11 t=255488
bian yi yuan li 	編譯原理	c=1 d=2.18779e-34 t=255488
bian yu 	便於	c=2 d=2.24931e-213 t=255488
bian zhi 	貶值	c=1 d=0 t=255488
bian zhong 	變種	c=1 d=1.68871e-311 t=255488
biao 	標	c=16 d=1.78537e-25 t=255488
biao 	表	c=222 d=2.06746 t=255488
biao 	飆	c=1 d=0 t=255488
biao bai 	表白	c=1 d=4.90411e-89 t=255488
biao chi 	標尺	c=2 d=0.00522135 t=255488
biao da 	表達	c=2 d=1.06325e-45 t=255488
biao da shi 	表達式	c=11 d=0.0118054 t=255488
biao dan 	表單	c=24 d=4.0783e-08 t=255488
biao di 	表弟	c=1 d=1.28378e-174 t=255488
biao gan 	標杆	c=1 d=0 t=255488
biao ge 	表格	c=36 d=0.0165727 t=255488
biao hong se 	標紅色	c=1 d=2.06284e-48 t=255488
biao ji 	標記	c=19 d=0.00163727 t=255488
biao jie gou 	表結構	c=1 d=6.98723e-48 t=255488
biao mian 	表面	c=2 d=7.73061e-296 t=255488
biao ming 	表名	c=12 d=1.81952e-42 t=255488
biao qian 	標籤	c=20 d=3.56328e-08 t=255488
biao qing 	表情	c=7 d=0.000339011 t=255488
biao shi 	標識	c=16 d=6.56574e-14 t=255488
biao shi 	表示	c=42 d=0.00361557 t=255488
biao shi fu 	標識符	c=1 d=0.00301245 t=255488
biao shu 	表述	c=1 d=3.25593e-35 t=255488
biao ti 	標題	c=51 d=4.22932e-24 t=255488
biao xia 	標下	c=1 d=1 t=254884
biao xian 	表現	c=2 d=6.83723e-28 t=255488
biao zhi 	標誌	c=7 d=2.45777e-50 t=255488
biao zhi 	表識	c=1 d=3.93175e-48 t=255488
biao zhong 	表中	c=5 d=9.73092e-33 t=255488
biao zhu 	標註	c=13 d=1.41685e-11 t=255488
biao zhun 	標準	c=41 d=2.66983e-11 t=255488
biao zhun ku 	標準庫	c=1 d=6.81262e-15 t=255488
bie 	別	c=88 d=1.35144 t=255488
bie chao guo 	別超過	c=1 d=1.69386e-53 t=255488
bie chi 	別吃	c=3 d=0.22091 t=255488
bie chuan 	別穿	c=1 d=7.2652e-07 t=255488
bie de 	別的	c=167 d=0.128093 t=255488
bie dong 	別動	c=1 d=8.03072e-156 t=255488
bie fa 	別發	c=1 d=2.06666e-246 t=255488
bie fa huo 	別發火	c=1 d=3.4114e-260 t=255488
bie gao 	別搞	c=1 d=2.60842e-44 t=255488
bie gei 	別給	c=1 d=6.66501e-22 t=255488
bie ji 	別急	c=3 d=3.07975e-292 t=255488
bie jia 	別家	c=1 d=5.37439e-225 t=255488
bie jiao 	蹩腳	c=1 d=0 t=255488
bie kai 	別開	c=1 d=2.37738e-188 t=255488
bie kan 	別看	c=4 d=3.96133e-215 t=255488
bie lai 	別來	c=1 d=5.88185e-22 t=255488
bie li 	別離	c=0 d=0.0244143 t=255488
bie li ta 	別離她	c=1 d=0.245367 t=255488
bie mai 	別買	c=1 d=5.43668e-96 t=255488
bie ming 	別名	c=9 d=4.82566e-17 t=255488
bie niu 	彆扭	c=1 d=5.22757e-17 t=255488
bie nong 	別弄	c=2 d=5.14711e-11 t=255488
bie rang 	別讓	c=0 d=0 t=255488
bie rang zuo 	別讓左	c=1 d=0 t=255488
bie ren 	別人	c=40 d=0.316637 t=255488
bie ren jia 	別人家	c=1 d=1.73918e-187 t=255488
bie ren shuo 	別人說	c=1 d=0 t=255488
bie shuo 	別說	c=4 d=3.14074e-23 t=255488
bie tai 	別太	c=1 d=3.96657e-181 t=255488
bie ting 	別聽	c=1 d=4.89514e-185 t=255488
bie tou 	別投	c=2 d=3.41229e-28 t=255488
bie tui 	別退	c=1 d=4.31036e-12 t=255488
bie xia mai 	別夏買	c=1 d=8.83227e-187 t=255488
bie xin 	別信	c=1 d=1.54056e-84 t=255488
bie xuan 	別選	c=1 d=4.57597e-39 t=255488
bie yang 	別樣	c=2 d=1.85477e-30 t=255488
bie yao 	別要	c=2 d=1.12434e-12 t=255488
bie yong 	別用	c=2 d=1.14396e-141 t=255488
bie zai 	別再	c=1 d=0.000685748 t=255488
bie zhuang 	別裝	c=1 d=1.54465e-27 t=255488
bin 	斌	c=4 d=5.2015e-17 t=255488
bin guan 	賓館	c=1 d=2.75387e-241 t=255488
bin hai 	濱海	c=1 d=0.603506 t=255488
bin xian 	賓縣	c=1 d=1.84892e-201 t=255488
bing 	並	c=39 d=0.923116 t=255488
bing 	病	c=3 d=0.000110555 t=255488
bing 	餅	c=9 d=5.90368e-18 t=255488
bing ba 	並把	c=4 d=0.000420107 t=255488
bing bu 	兵部	c=1 d=1.49951e-31 t=255488
bing du 	病毒	c=3 d=1.84376e-80 t=255488
bing fa 	併發	c=24 d=0.83527 t=255488
bing fa shu 	併發書	c=1 d=0 t=255488
bing jia 	病假	c=5 d=0 t=255488
bing jiang 	並將	c=1 d=1.21424e-19 t=255488
bing li 	病歷	c=2 d=0 t=255488
bing mei you 	並沒有	c=1 d=8.53014e-13 t=255488
bing qie 	並且	c=9 d=0.465334 t=255488
bing tu 	餅圖	c=1 d=1.20098e-125 t=255488
bing wu 	並無	c=1 d=2.46987e-284 t=255488
bing xiang 	冰箱	c=32 d=0.0129068 t=255488
bing xiang tie 	冰箱貼	c=1 d=0 t=255488
bing xing 	並行	c=4 d=2.24401e-09 t=255488
bing yin 	病因	c=1 d=0.0139818 t=255488
bing yu huo 	冰與火	c=3 d=0.036334 t=255488
bing zhuang tu 	餅狀圖	c=1 d=8.6869e-227 t=255488
bo 	播	c=1 d=1.23175e-11 t=255488
bo 	波	c=2 d=1.71566e-27 t=255488
bo 	薄	c=3 d=6.94174e-30 t=255488
bo bao 	播報	c=2 d=1.43935e-108 t=255488
bo bo 	伯伯	c=1 d=5.77441e-11 t=255488
bo cai 	菠菜	c=2 d=2.04735e-16 t=255488
bo dong 	波動	c=1 d=0 t=255488
bo fang 	播放	c=2 d=1.80756e-82 t=255488
bo fang tu biao 	播放圖標	c=1 d=0 t=255488
bo ge 	博格	c=3 d=1.68351e-285 t=255488
bo hui 	駁回	c=20 d=2.07097e-39 t=255488
bo hui lai 	撥回來	c=1 d=8.96481e-127 t=255488
bo ke 	博客	c=8 d=5.33936e-60 t=255488
bo lang 	波浪	c=1 d=8.59481e-43 t=255488
bo li 	剝離	c=3 d=2.65252e-06 t=255488
bo li 	玻璃	c=11 d=0.00409665 t=255488
bo li she 	玻璃蛇	c=1 d=0.0411719 t=255488
bo long 	波隆	c=1 d=0.000267872 t=255488
bo luo 	菠蘿	c=2 d=3.50355e-15 t=255488
bo shi 	博世	c=1 d=2.37865e-18 t=255488
bo wu guan 	博物館	c=2 d=0.000407691 t=255488
bo zhu 	博主	c=2 d=4.06794e-125 t=255488
bu 	不	c=1128 d=1.8842 t=255488
bu 	布	c=6 d=4.74477e-24 t=255488
bu 	步	c=11 d=3.65286e-06 t=255488
bu 	補	c=20 d=3.84145e-10 t=255488
bu 	部	c=11 d=0.0632918 t=255488
bu a 	不啊	c=1 d=1.50155e-47 t=255488
bu an 	不安	c=0 d=3.63824e-48 t=255488
bu an 	不按	c=1 d=3.64931e-259 t=255488
bu an quan 	不安全	c=1 d=0 t=255488
bu an shi 	不按時	c=1 d=3.73757e-11 t=255488
bu an tao lu 	不安套路	c=1 d=3.65647e-47 t=255488
bu ba 	不拔	c=1 d=5.34252e-302 t=255488
bu ban 	不搬	c=2 d=2.79184e-20 t=255488
bu bao 	不包	c=1 d=1.10673e-281 t=255488
bu bao cun 	不保存	c=2 d=1.42983e-30 t=255488
bu bao cuo 	不報錯	c=5 d=2.97681e-10 t=255488
bu bao han 	不包含	c=4 d=2.97215e-21 t=255488
bu bao kuo 	不包括	c=1 d=1.19114e-234 t=255488
bu bao zheng 	不保證	c=1 d=1.53857e-10 t=255488
bu bei 	不被	c=1 d=6.66626e-318 t=255488
bu bei bu kang 	不卑不亢	c=1 d=3.5274e-271 t=255488
bu bi 	不比	c=1 d=1.07962e-107 t=255488
bu bian 	不變	c=24 d=1.84639e-38 t=255488
bu bu 	步步	c=1 d=2.82013e-256 t=255488
bu bu 	補補	c=4 d=4.68782e-29 t=255488
bu bu gao 	步步高	c=2 d=9.92042e-17 t=255488
bu cai 	不才	c=1 d=0 t=255488
bu can yu 	不參與	c=2 d=0 t=255488
bu ce 	不測	c=1 d=4.04562e-266 t=255488
bu cha 	不差	c=3 d=4.91294e-22 t=255488
bu chai 	不拆	c=1 d=2.34181e-99 t=255488
bu chang 	步長	c=2 d=5.64112e-236 t=255488
bu chang 	補償	c=2 d=4.10865e-07 t=255488
bu chang yong 	不常用	c=2 d=2.44171e-208 t=255488
bu chao guo 	不超過	c=2 d=0.13068 t=255488
bu cheng 	不成	c=2 d=1.91118e-32 t=255488
bu cheng gong 	不成功	c=2 d=3.39252e-136 t=255488
bu chi 	不吃	c=22 d=0.0218184 t=255488
bu chong 	補充	c=21 d=9.92548e-60 t=255488
bu chong fu 	不重複	c=1 d=0.99005 t=255488
bu chong qi 	不重啓	c=1 d=3.24976e-189 t=255488
bu chong wan zheng 	補充完整	c=1 d=4.96388e-320 t=255488
bu chong yang shi 	補充樣式	c=3 d=0 t=255488
bu chu 	不出	c=9 d=0.0156858 t=255488
bu chu chai 	不出差	c=1 d=0 t=255488
bu chu fa 	不觸發	c=1 d=4.46744e-227 t=255488
bu chu lai 	不出來	c=12 d=3.29783e-09 t=255488
bu chu li 	不處理	c=1 d=7.26002e-28 t=255488
bu chu qu 	不出去	c=3 d=1.43426e-37 t=255488
bu chuan 	不傳	c=3 d=1.08489e-223 t=255488
bu cong 	不從	c=1 d=2.48374e-56 t=255488
bu cui 	不催	c=2 d=1.29355e-175 t=255488
bu cun 	不存	c=3 d=1.91314e-44 t=255488
bu cun za 	不存咋	c=1 d=3.96236e-51 t=255488
bu cun zai 	不存在	c=102 d=0.629296 t=255488
bu cun zai ni 	不存在你	c=1 d=1.76029e-35 t=255488
bu cuo 	不錯	c=65 d=2.99071e-06 t=255488
bu da 	不大	c=27 d=0.00323088 t=255488
bu da 	不打	c=2 d=6.24324e-47 t=255488
bu da yin 	不打印	c=1 d=6.2029e-294 t=255488
bu da zhe 	不打折	c=2 d=0.0268007 t=255488
bu dai 	不帶	c=14 d=0.00646079 t=255488
bu dai can shu 	不帶參數	c=1 d=0.0086517 t=255488
bu dai shi jian zhou de 	不帶時間軸的	c=1 d=0 t=255488
bu dan 	不丹	c=1 d=7.45522e-46 t=255488
bu dao 	不到	c=78 d=0.71177 t=255488
bu dao wei 	不到位	c=1 d=2.73918e-90 t=255488
bu de 	不得	c=1 d=4.94782e-17 t=255488
bu deng 	不等	c=3 d=2.81897e-163 t=255488
bu deng lu 	不登錄	c=1 d=2.43243e-222 t=255488
bu deng yu 	不等於	c=1 d=6.45035e-313 t=255488
bu di 	不低	c=1 d=1.74972e-23 t=255488
bu dian 	布點	c=2 d=1.82922e-222 t=255488
bu dian can 	不點餐	c=1 d=0 t=255488
bu diao 	不弔	c=1 d=3.08529e-225 t=255488
bu ding 	不定	c=1 d=1.65265e-28 t=255488
bu ding 	補丁	c=2 d=3.39976e-298 t=255488
bu dong 	不動	c=3 d=3.23473e-17 t=255488
bu dong 	不懂	c=7 d=6.24694e-24 t=255488
bu dou 	布兜	c=1 d=5.37714e-231 t=255488
bu dou shi 	不都是	c=1 d=3.26897e-317 t=255488
bu dui 	不對	c=113 d=0.0136597 t=255488
bu dui jie 	不對接	c=1 d=1.39359e-169 t=255488
bu dui ying 	不對應	c=1 d=5.48981e-34 t=255488
bu duo 	不多	c=64 d=0.000623601 t=255488
bu e 	不餓	c=5 d=3.47755e-45 t=255488
bu fa 	不發	c=1 d=5.7337e-16 t=255488
bu fa 	補發	c=2 d=7.65263e-265 t=255488
bu fa le 	不發了	c=1 d=3.02615e-320 t=255488
bu fang 	不放	c=4 d=9.21203e-06 t=255488
bu fang bian 	不方便	c=10 d=2.50457e-07 t=255488
bu fang guo 	不放過	c=0 d=3.95253e-322 t=255488
bu fang piao 	不放票	c=1 d=1.09131e-28 t=255488
bu fen 	不分	c=1 d=2.53685e-99 t=255488
bu fen 	部分	c=42 d=0.0393602 t=255488
bu fen zhang 	不分賬	c=3 d=8.1404e-51 t=255488
bu fen zhi 	部分值	c=1 d=1.92327e-253 t=255488
bu fu 	不符	c=2 d=7.82679e-30 t=255488
bu fu he 	不符合	c=4 d=0.00036159 t=255488
bu gai 	不改	c=7 d=1.59196e-29 t=255488
bu gai 	補鈣	c=1 d=2.0581e-256 t=255488
bu gai bian 	不改變	c=1 d=0 t=255488
bu gai le 	不改了	c=1 d=0 t=255488
bu gan 	不幹	c=11 d=4.1706e-23 t=255488
bu gan 	不敢	c=7 d=8.39886e-08 t=255488
bu gan jing 	不乾淨	c=2 d=7.07956e-26 t=255488
bu gan qu 	不敢去	c=1 d=2.9079e-293 t=255488
bu gan shuo 	不敢說	c=1 d=2.08721e-186 t=255488
bu gan xiang 	不感想	c=1 d=2.27081e-31 t=255488
bu gan xiang 	不敢想	c=1 d=8.44096e-07 t=255488
bu gan xing qu 	不感興趣	c=1 d=1.11792e-76 t=255488
bu gan xing you 	不乾性油	c=0 d=0.0116484 t=255488
bu gao 	不搞	c=1 d=1.08028e-173 t=255488
bu gao 	不高	c=5 d=4.75705e-25 t=255488
bu gao su 	不告訴	c=2 d=1.26972e-309 t=255488
bu gei 	不給	c=7 d=2.02378e-29 t=255488
bu gei 	補給	c=3 d=6.08411e-08 t=255488
bu gei gai 	不給改	c=1 d=7.72766e-174 t=255488
bu gei gao 	不給搞	c=1 d=1.2277e-178 t=255488
bu gei li 	不給力	c=1 d=1.17284e-52 t=255488
bu gei ni 	不給你	c=3 d=1.47874e-14 t=255488
bu gei ta 	不給他	c=1 d=3.92882e-98 t=255488
bu gen ju 	不根據	c=1 d=3.52954e-190 t=255488
bu gou 	不夠	c=24 d=0.000685748 t=255488
bu gou yong 	不夠用	c=3 d=2.62702e-10 t=255488
bu gu 	不顧	c=1 d=1.01151e-252 t=255488
bu gua 	不掛	c=1 d=5.88467e-57 t=255488
bu guan 	不管	c=35 d=3.12029e-05 t=255488
bu guan 	不關	c=1 d=2.23192e-63 t=255488
bu guan ta 	不管他	c=1 d=0 t=255488
bu guan xin 	不關心	c=3 d=0.0972957 t=255488
bu guan yong 	不管用	c=6 d=1.81712e-144 t=255488
bu gui 	不貴	c=16 d=3.37259e-08 t=255488
bu gui fan 	不規範	c=1 d=4.70685e-106 t=255488
bu gui ze 	不規則	c=1 d=0 t=255488
bu gui ze xing zhuang 	不規則形狀	c=1 d=0 t=255488
bu guo 	不過	c=53 d=0.144118 t=255488
bu guo guan 	不過關	c=1 d=9.05586e-187 t=255488
bu guo lai 	不過來	c=0 d=3.90568e-294 t=255488
bu guo qu 	不過去	c=2 d=2.947e-68 t=255488
bu han 	不含	c=1 d=3.14675e-163 t=255488
bu han han 	不含含	c=1 d=3.1425e-294 t=255488
bu hao 	不好	c=182 d=0.512907 t=255488
bu hao ba 	不好吧	c=1 d=0 t=255488
bu hao bao 	不好抱	c=1 d=1.61043e-47 t=255488
bu hao chi 	不好吃	c=9 d=3.02807e-05 t=255488
bu hao chu 	不好出	c=1 d=3.61989e-252 t=255488
bu hao de 	不好的	c=1 d=4.42374e-229 t=255488
bu hao gai 	不好改	c=1 d=1.8481e-137 t=255488
bu hao gao 	不好搞	c=1 d=2.37101e-274 t=255488
bu hao gua hao 	不好掛號	c=1 d=8.57771e-284 t=255488
bu hao jiao 	不好教	c=1 d=0 t=255488
bu hao kan 	不好看	c=7 d=0.00275318 t=255488
bu hao kong zhi 	不好控制	c=1 d=7.80624e-322 t=255488
bu hao kou 	不好釦	c=1 d=8.17605e-308 t=255488
bu hao mai 	不好賣	c=3 d=2.86125e-236 t=255488
bu hao nong 	不好弄	c=4 d=1.70937e-72 t=255488
bu hao qiang 	不好搶	c=3 d=7.31059e-26 t=255488
bu hao shang 	不好上	c=2 d=3.71249e-20 t=255488
bu hao shi 	不好使	c=6 d=1.32445e-188 t=255488
bu hao shuo 	不好說	c=6 d=3.23078e-32 t=255488
bu hao tan 	不好談	c=1 d=0 t=255488
bu hao yi si 	不好意思	c=2 d=1.19535e-11 t=255488
bu hao yong 	不好用	c=7 d=0.00125578 t=255488
bu hao zhao 	不好找	c=5 d=1.98e-07 t=255488
bu hao zhao 	不好招	c=1 d=0 t=255488
bu hao zheng 	不好整	c=1 d=0 t=255488
bu hao zhuan 	不好轉	c=1 d=0.121238 t=255488
bu hao zu 	不好租	c=1 d=3.55207e-206 t=255488
bu hao zuo 	不好做	c=3 d=4.15277e-15 t=255488
bu he 	不和	c=2 d=0 t=255488
bu he 	不喝	c=1 d=2.03993e-239 t=255488
bu he fa 	不合法	c=1 d=0 t=255488
bu he ge 	不合格	c=3 d=1.49017e-222 t=255488
bu he le 	不喝了	c=1 d=1.60094e-242 t=255488
bu he li 	不合理	c=4 d=7.73161e-180 t=255488
bu he shi 	不合適	c=10 d=4.29565e-20 t=255488
bu hua suan 	不划算	c=3 d=0.00440507 t=255488
bu huan 	不換	c=3 d=0.158817 t=255488
bu huan shui 	不換水	c=1 d=0.0305009 t=255488
bu huang bu luan 	不慌不亂	c=1 d=3.5098e-271 t=255488
bu hui 	不回	c=5 d=5.04262e-05 t=255488
bu hui 	不會	c=151 d=0.607783 t=255488
bu hui 	補回	c=1 d=2.11308e-272 t=255488
bu hui a 	不回啊	c=1 d=1.66269e-11 t=255488
bu hui diu 	不會丟	c=2 d=2.89591e-119 t=255488
bu hui jia 	不回家	c=2 d=1.15062e-29 t=255488
bu hui lai 	不回來	c=1 d=9.15184e-164 t=255488
bu hui qu 	不回去	c=10 d=3.26669e-15 t=255488
bu hui qu chi 	不回去吃	c=1 d=9.57789e-23 t=255488
bu hui shi 	不會是	c=1 d=0 t=255488
bu hui xie 	不會寫	c=1 d=3.14967e-320 t=255488
bu hui zheng 	不會整	c=1 d=0 t=255488
bu huo 	捕獲	c=2 d=2.43075e-30 t=255488
bu ji 	不急	c=5 d=2.753e-61 t=255488
bu ji de 	不記得	c=1 d=1.10574e-06 t=255488
bu ji ge 	不及格	c=0 d=0 t=255488
bu ji shi 	不及時	c=1 d=1 t=252407
bu jia 	不加	c=18 d=4.66047e-19 t=255488
bu jia ban 	不加班	c=2 d=0 t=255488
bu jia mi 	不加密	c=1 d=4.93597e-312 t=255488
bu jian 	不減	c=5 d=0.00017252 t=255488
bu jian 	不見	c=1 d=0 t=255488
bu jian jie 	不簡介	c=1 d=9.25821e-06 t=255488
bu jian rong 	不兼容	c=4 d=5.36921e-08 t=255488
bu jiang 	不降	c=0 d=3.86873e-06 t=255488
bu jiang jia 	不降價	c=1 d=3.88812e-05 t=255488
bu jiao 	不交	c=3 d=1.06229e-240 t=255488
